,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액,건축년도,도로명,해제사유발생일
7080,경기도 용인처인구 모현읍 동림리,1**,단독,8m미만,210.98,507.0,202107,6,72800,2000.0,동산로16번길,
7082,경기도 용인처인구 모현읍 동림리,1**,단독,8m미만,232.56,648.0,202104,10,53000,2013.0,동산로16번길,
7092,경기도 용인처인구 모현읍 매산리,2**,단독,8m미만,110.51,714.0,202105,18,64000,2013.0,문현로185번길,
7094,경기도 용인처인구 모현읍 오산리,4**,단독,8m미만,131.75,144.0,202105,5,56000,2019.0,오산로,
7095,경기도 용인처인구 모현읍 오산리,4**,단독,8m미만,148.2,162.0,202101,11,58000,2019.0,오산로,
7096,경기도 용인처인구 모현읍 오산리,4**,단독,8m미만,148.2,162.0,202104,14,58000,2019.0,오산로,
7097,경기도 용인처인구 모현읍 오산리,4**,단독,8m미만,148.2,162.0,202101,19,58000,2019.0,오산로,
7098,경기도 용인처인구 모현읍 오산리,4**,단독,8m미만,148.2,164.0,202104,26,58000,2019.0,오산로,
7099,경기도 용인처인구 모현읍 오산리,3**,단독,8m미만,91.33,205.0,202103,13,62000,2000.0,오산로,
7100,경기도 용인처인구 모현읍 오산리,3**,단독,8m미만,197.89,262.0,202103,10,75577,2000.0,오산로,
7101,경기도 용인처인구 모현읍 오산리,3**,단독,8m미만,197.89,262.0,202103,10,75670,2000.0,오산로,20210422.0
7102,경기도 용인처인구 모현읍 오산리,3**,단독,8m미만,197.89,262.0,202103,10,75577,2000.0,오산로,20210609.0
7103,경기도 용인처인구 모현읍 오산리,2**,단독,8m미만,159.11,304.0,202105,16,68900,2000.0,자작나무로,
7104,경기도 용인처인구 모현읍 오산리,2**,단독,8m미만,202.15,308.0,202103,19,73800,2000.0,자작나무로,
7105,경기도 용인처인구 모현읍 오산리,6*,단독,8m미만,149.64,314.0,202105,7,66800,2014.0,오산로99번길,
7106,경기도 용인처인구 모현읍 오산리,3**,단독,8m미만,197.89,315.3,202103,10,76500,2000.0,오산로,20210609.0
7107,경기도 용인처인구 모현읍 오산리,3*,단독,8m미만,148.47,331.0,202102,17,77500,2017.0,오산로13번길,20210511.0
7108,경기도 용인처인구 모현읍 오산리,1**,단독,8m미만,139.91,362.0,202103,11,82300,2015.0,대지로485번길,
7110,경기도 용인처인구 모현읍 오산리,1**,단독,8m미만,136.63,378.0,202103,6,82500,2000.0,대지로485번길,
7116,경기도 용인처인구 모현읍 왕산리,5**,단독,-,176.32,330.0,202103,15,67705,2000.0,외대로25번길,
7117,경기도 용인처인구 모현읍 왕산리,5**,단독,-,176.32,335.0,202103,15,67705,2000.0,외대로25번길,20210525.0
7118,경기도 용인처인구 모현읍 왕산리,5**,단독,-,176.32,335.0,202103,15,70706,2000.0,외대로25번길,20210524.0
7120,경기도 용인처인구 모현읍 일산리,5**,단독,8m미만,111.94,383.8,202106,10,54100,2017.0,외개일로20번길,
7125,경기도 용인처인구 모현읍 초부리,2*,단독,8m미만,130.85,382.0,202105,17,57000,2021.0,초부로37번길,
7126,경기도 용인처인구 모현읍 초부리,2*,단독,8m미만,118.29,468.0,202103,30,52585,2021.0,초부로37번길,
7137,경기도 용인처인구 백암면 박곡리,6**,단독,8m미만,509.03,427.0,202107,13,87000,2008.0,백암로,
7145,경기도 용인처인구 백암면 백암리,3**,단독,8m미만,63.27,455.0,202105,17,54000,2000.0,백암로202번길,
7147,경기도 용인처인구 백암면 장평리,6**,단독,8m미만,234.99,767.06,202102,3,69000,2018.0,삼백로503번길,
7152,경기도 용인처인구 양지면 남곡리,3**,단독,8m미만,113.0,466.0,202105,26,60000,2015.0,은이로39번길,
7154,경기도 용인처인구 양지면 남곡리,3**,단독,8m미만,82.56,574.0,202104,9,55900,2001.0,은이로39번길,
7167,경기도 용인처인구 양지면 대대리,7**,단독,8m미만,84.78,509.0,202105,22,56800,2018.0,한터로662번길,20210625.0
7168,경기도 용인처인구 양지면 대대리,7**,단독,8m미만,84.78,509.0,202105,22,56800,2018.0,한터로662번길,
7171,경기도 용인처인구 양지면 대대리,6**,단독,8m미만,198.72,561.0,202103,8,55800,2001.0,한터로563번길,
7174,경기도 용인처인구 양지면 대대리,5**,단독,8m미만,216.38,620.0,202106,15,58200,2008.0,한터로563번길,
7175,경기도 용인처인구 양지면 대대리,4**,단독,8m미만,228.51,623.0,202101,18,54000,2006.0,한터로563번길,
7177,경기도 용인처인구 양지면 대대리,8*,단독,8m미만,196.19,846.0,202106,2,83000,2008.0,대대로117번길,
7180,경기도 용인처인구 양지면 송문리,3**,단독,8m미만,168.3,563.0,202103,6,53000,2000.0,반정로,
7193,경기도 용인처인구 양지면 제일리,1**,단독,8m미만,115.05,345.0,202107,4,51000,2019.0,중부대로2517번길,
7198,경기도 용인처인구 양지면 제일리,8*,단독,8m미만,179.52,371.0,202105,22,59500,2019.0,중부대로2517번길,
7202,경기도 용인처인구 양지면 제일리,1**,단독,8m미만,115.05,397.0,202106,15,52000,2019.0,중부대로2517번길,
7203,경기도 용인처인구 양지면 제일리,1**,단독,8m미만,115.05,397.0,202106,18,52000,2019.0,중부대로2517번길,
7204,경기도 용인처인구 양지면 제일리,1**,단독,8m미만,115.05,397.0,202106,22,52000,2019.0,중부대로2517번길,
7206,경기도 용인처인구 양지면 제일리,1**,단독,8m미만,178.08,400.0,202104,17,52225,2000.0,남평로231번길,
